filename,class,xmin,ymin,xmax,ymax
image_0001.jpg,person,0,0,290,334
image_0002.jpg,person,0,0,263,332
image_0003.jpg,person,0,0,279,308
image_0004.jpg,person,0,0,261,322
image_0005.jpg,person,0,0,290,330
image_0006.jpg,person,0,0,289,329
image_0007.jpg,person,0,0,276,342
image_0008.jpg,person,0,0,287,335
image_0009.jpg,person,0,0,263,324
image_0010.jpg,person,0,0,264,331
image_0011.jpg,person,0,0,255,313
image_0012.jpg,person,0,0,287,321
image_0013.jpg,person,0,0,282,308
image_0014.jpg,person,0,0,257,333
image_0015.jpg,person,0,0,290,317
image_0016.jpg,person,0,0,267,300
image_0017.jpg,person,0,0,267,296
image_0018.jpg,person,0,0,281,316
image_0019.jpg,person,0,0,288,325
image_0020.jpg,person,0,0,266,299
image_0021.jpg,person,0,0,286,348
image_0022.jpg,person,0,0,255,311
image_0023.jpg,person,0,0,270,324
image_0024.jpg,person,0,0,268,306
image_0025.jpg,person,0,0,275,333
image_0026.jpg,person,0,0,273,322
image_0027.jpg,person,0,0,270,305
image_0028.jpg,person,0,0,267,308
image_0029.jpg,person,0,0,271,316
image_0030.jpg,person,0,0,280,311
image_0031.jpg,person,0,0,281,311
image_0032.jpg,person,0,0,257,283
image_0033.jpg,person,0,0,254,295
image_0034.jpg,person,0,0,257,315
image_0035.jpg,person,0,0,260,315
image_0036.jpg,person,0,0,270,309
image_0037.jpg,person,0,0,270,302
image_0038.jpg,person,0,0,271,308
image_0039.jpg,person,0,0,277,309
image_0040.jpg,person,0,0,256,313
image_0041.jpg,person,0,0,258,302
image_0042.jpg,person,0,0,277,301
image_0043.jpg,person,0,0,287,322
image_0044.jpg,person,0,0,253,310
image_0045.jpg,person,0,0,281,320
image_0046.jpg,person,0,0,282,329
image_0047.jpg,person,0,0,276,336
image_0048.jpg,person,0,0,266,292
image_0049.jpg,person,0,0,287,340
image_0050.jpg,person,0,0,259,340
image_0051.jpg,person,0,0,296,355
image_0052.jpg,person,0,0,286,353
image_0053.jpg,person,0,0,293,341
image_0054.jpg,person,0,0,272,326
image_0055.jpg,person,0,0,288,322
image_0056.jpg,person,0,0,273,319
image_0057.jpg,person,0,0,283,334
image_0058.jpg,person,0,0,275,316
image_0059.jpg,person,0,0,284,301
image_0060.jpg,person,0,0,274,326
image_0061.jpg,person,0,0,283,303
image_0062.jpg,person,0,0,284,317
image_0063.jpg,person,0,0,276,328
image_0064.jpg,person,0,0,252,331
image_0065.jpg,person,0,0,290,319
image_0066.jpg,person,0,0,274,332
image_0067.jpg,person,0,0,274,327
image_0068.jpg,person,0,0,258,332
image_0069.jpg,person,0,0,265,294
image_0070.jpg,person,0,0,264,301
image_0071.jpg,person,0,0,266,310
image_0072.jpg,person,0,0,264,287
image_0073.jpg,person,0,0,266,296
image_0074.jpg,person,0,0,263,283
image_0075.jpg,person,0,0,265,291
image_0076.jpg,person,0,0,266,308
image_0077.jpg,person,0,0,270,298
image_0078.jpg,person,0,0,262,275
image_0079.jpg,person,0,0,279,303
image_0080.jpg,person,0,0,263,287
image_0081.jpg,person,0,0,267,297
image_0082.jpg,person,0,0,275,290
image_0083.jpg,person,0,0,264,296
image_0084.jpg,person,0,0,250,301
image_0085.jpg,person,0,0,250,308
image_0086.jpg,person,0,0,265,301
image_0087.jpg,person,0,0,267,308
image_0088.jpg,person,0,0,276,297
image_0089.jpg,person,0,0,268,311
image_0090.jpg,person,0,0,285,369
image_0091.jpg,person,0,0,298,381
image_0092.jpg,person,0,0,295,376
image_0093.jpg,person,0,0,281,366
image_0094.jpg,person,0,0,284,379
image_0095.jpg,person,0,0,288,380
image_0096.jpg,person,0,0,275,353
image_0097.jpg,person,0,0,269,358
image_0098.jpg,person,0,0,266,349
image_0099.jpg,person,0,0,286,369
image_0100.jpg,person,0,0,294,380
image_0101.jpg,person,0,0,261,376
image_0102.jpg,person,0,0,299,378
image_0103.jpg,person,0,0,281,361
image_0104.jpg,person,0,0,282,367
image_0105.jpg,person,0,0,293,367
image_0106.jpg,person,0,0,299,371
image_0107.jpg,person,0,0,298,367
image_0108.jpg,person,0,0,295,367
image_0109.jpg,person,0,0,292,354
image_0110.jpg,person,0,0,293,371
image_0111.jpg,person,0,0,285,371
image_0112.jpg,person,0,0,283,371
image_0113.jpg,person,0,0,271,311
image_0114.jpg,person,0,0,433,286
image_0115.jpg,person,0,0,248,295
image_0116.jpg,person,0,0,272,308
